City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Bengaluru,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,109
Chennai,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,74
Pune,Nourish You Pumpkin Seeds 250.0 GRAM,42f063c0-f709-4837-92be-2841bd46298a,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,17
Gurugram,Nourish You Pumpkin Seeds 250.0 GRAM,42f063c0-f709-4837-92be-2841bd46298a,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,4
Mumbai,Nourish You Pumpkin Seeds 250.0 GRAM,42f063c0-f709-4837-92be-2841bd46298a,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,183
Ghaziabad,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Kolkata,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Noida,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,9
Ghaziabad,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,0
Ghaziabad,Nourish You Plant Based Milk - Chocolate 200.0 MILLILITRE,6f369cf5-5f44-420f-a07c-2855dd4df71e,8908005459798,Cold Drinks & Juices,Vegan Drinks,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Bengaluru,Nourish You Pumpkin Seeds 250.0 GRAM,42f063c0-f709-4837-92be-2841bd46298a,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,194
Mumbai,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,224
