Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
12-03-2026,42f063c0-f709-4837-92be-2841bd46298a,Nourish You Pumpkin Seeds 250.0 GRAM,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,1,469,469
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,3,475,1425
12-03-2026,0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Lucknow,1,199,199
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,1,189,189
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,2,675,1350
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,4,285,1140
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,21,285,5985
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,1,475,475
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,8,289,2312
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Jalandhar,1,550,550
