State,Campaign name,Status,Type,Targeting,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS
PAUSED,SPM Black Chia Seeds 500G GKW Phrase ROS EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,27/02/2025,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPT White Quinoa 1Kg Comp EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,03/07/2023,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,"SD Pumpkin Seeds 100G PR Refined(14,30,60 Days) EV",ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,16/10/2023,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SBV White Quinoa 1Kg GKW Phrase/Exact EV,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,27/11/2023,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,"SD Pumpkin Seeds 500G PR Refined(30,60,90 Days) EV",ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,05/04/2025,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM White Chia Seeds 500G GKW Broad EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,28/03/2023,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SDPT Chia Naga,ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,12/09/2025,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SD White Quinoa PR Refined(180 Days) EV,ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,02/04/2024,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,"SD Watermelon Seeds 100G PR/VR Refined(30,60/7,14Days) EV",ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,03/04/2023,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM Black Chia Seeds 2KG GKW Exact EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,20/11/2023,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM Black Chia Seeds 500G GKW Exact EV.,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,28/03/2023,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM Ragi Sticks GKW Phrase EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,11/12/2024,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM Millet Milk 1L GKW Phrase EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,25/04/2024,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SD CHIA,ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,24/06/2025,,₹200.00,₹200.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPA HP Oats,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,31/07/2025,,₹200.00,₹200.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SPM Quinoa Flour 750G GKW Broad,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,28/03/2023,,"₹1,560.00","₹1,560.00",0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SPT  250G  Watermelon Seeds  Comp,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,17/06/2024,,"₹1,560.00","₹1,560.00",0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SPT Seeds Combo Pack 1kg Self,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,28/03/2023,,"₹1,560.00","₹1,560.00",0,0.15,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_Combo Pack(Black Chia Seeds & Rolled Oats) 500G GKW,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/06/2024,,₹50.00,₹50.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SMK_MUESLI_5KEY,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,23/11/2025,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Self Defence,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/01/2026,,"₹1,000.00","₹1,000.00",0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | SB | VCPM,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | SP | Self Defence,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹900.00,₹900.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SPM Premium White Quinoa 500G GKW Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/06/2024,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Quinoa | Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,25/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Millet Milk | Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
